"Country","Year","Status","Life expectancy","Adult Mortality","infant deaths","Alcohol","percentage expenditure","Hepatitis B","Measles","BMI","under-five deaths","Polio","Total expenditure","Diphtheria","HIV/AIDS","GDP","Population","thinness  1-19 years","thinness 5-9 years","Income composition of resources","Schooling","Emission","Military Expenditure"
"Afghanistan",2000,0,-1.49736295799859,1.25606938848326,0.442453119014078,-1.13521384820471,-0.397533668547226,-0.66736975301899,0.373410316150047,-1.32136887189404,0.450346671866816,-2.46064454594154,0.977511793914401,-2.46897493781341,-0.34591930724799,-0.51801786983061,-0.213518572710827,-0.556307494657872,-0.508820641031318,-1.34512103032014,-1.86988749674511,-0.307793938099924,-0.343741864821319
"Afghanistan",2001,0,-1.44566908844315,1.2161731287631,0.442453119014078,-1.13521384820471,-0.397463515795656,-0.62660554934564,0.574208253264719,-1.30135335479587,0.450346671866816,-1.99520353238201,0.807478163599018,-2.08772299950984,-0.34591930724799,-0.517810696047811,-0.167540019051728,-0.601189003764787,-0.530815020259658,-1.33584677162827,-1.75485047014056,-0.307733374384698,-0.343741864821319
"Afghanistan",2002,0,-1.35262012324337,-1.28133272971896,0.442453119014078,-1.13521384820471,-0.394506627399241,-0.58584134567229,0.00909262396799996,-1.28133783769771,0.450346671866816,-1.95289071296751,0.790474800567479,-1.96063902007532,-0.34591930724799,-0.512848298540526,0.159548356462361,3.39326530675067,-0.574803778716337,-1.33120964228233,-1.66857270018715,-0.30765401667188,-0.343741864821319
"Afghanistan",2003,0,-1.30092625368793,1.04860883793842,0.434557050180862,-1.13521384820471,-0.397222601629767,-0.54507714199894,-0.142901509596828,-1.26132232059954,0.450346671866816,-1.741326615895,1.24106392090325,-1.74883238768445,-0.34591930724799,-0.512080643301886,-0.177889544691447,3.34838379764376,3.3182013446998,-1.18282150321239,-1.58229493023374,-0.30756548603305,-0.343741864821319
"Afghanistan",2004,0,-1.26990993195467,1.03265033405036,0.434557050180862,-1.13271801818299,-0.395251999145734,-0.463548734652241,-0.172796090369057,-1.24130680350138,0.438730763294434,-3.2645881148171,1.22831139862959,-3.27384014089871,-0.34591930724799,-0.510640729206615,0.196346516932557,3.30350228853684,3.27421258624312,-1.1457244684449,-1.49601716028033,-0.307495273204517,-0.35128006801963
"Afghanistan",2005,0,-1.23889361022141,1.0166918301623,0.41876491251443,-1.13271801818299,-0.401766357259844,-0.504312938325591,-0.0980596384384844,-1.22129128640321,0.427114854722051,-1.02200868584845,1.19005383180863,-1.0286898375555,-0.34591930724799,-0.524314660405794,-0.214137157850341,3.25862077942993,3.23022382778644,-1.07616752825587,-1.17966533711782,-0.307396810201112,-0.351469714382089
"Afghanistan",2006,0,-1.23889361022141,1.04860883793842,0.410868843681214,-1.13022218816127,-0.39437352124657,-0.58584134567229,-0.0355691593543666,-1.19627189003051,0.415498946149669,-1.02200868584845,0.650197055557288,-1.0286898375555,-0.34591930724799,-0.506872326201618,-0.174027576497723,3.23618002487647,3.18623506932976,-1.03443336414245,-1.12214682381555,-0.30727425845978,-0.35078417770719
"Afghanistan",2007,0,-1.21821606239923,1.04860883793842,0.395076706014782,-1.13271801818299,-0.397306398452187,-0.62660554934564,-0.112016445726724,-1.1712524936578,0.398075083291095,-0.810444588775937,0.352638202505367,-0.816883205164626,-0.34591930724799,-0.500010783532962,0.239316370736545,3.19129851576955,3.14224631087308,-0.988062070683092,-1.03586905386214,-0.307105087497466,-0.343766268061665
"Afghanistan",2008,0,-1.15618341893271,0.984774822386168,0.37928456834835,-1.13022218816127,-0.390297236321166,-0.58584134567229,-0.0707763312879258,-1.14623309728509,0.380651220432522,-0.768131769361435,1.0327727237669,-0.774521878686452,-0.34591930724799,-0.499762108382934,-0.171617678342823,3.14641700666264,3.0982575524164,-0.904593742456251,-0.949591283908724,-0.306791980068856,-0.342099768298143
"Afghanistan",2009,0,-1.10448954937727,0.936899310721975,0.355596361848703,-1.13521384820471,-0.375828886983818,-0.62660554934564,0.0428590932137408,-1.12121370091239,0.357419403287757,-0.810444588775937,1.49611436637632,-0.816883205164626,-0.34591930724799,-0.494645707713957,-0.213680710898154,3.10153549755572,3.05426879395972,-0.899956613110315,-0.89207277060645,-0.306287802208298,-0.341198058107613
"Afghanistan",2010,0,-1.0838120015551,0.92094080683391,0.331908155349055,-1.13521384820471,-0.365094290664086,-0.504312938325591,-0.0356592032723553,-1.09619430453968,0.334187586142992,-0.683506130532429,1.40259586970286,-0.689799225730104,-0.34591930724799,-0.487067226286999,-0.168972959364897,3.05665398844881,2.9882856562747,-0.835036802267216,-0.80579500065304,-0.305657443291053,-0.337517274768
"Afghanistan",2011,0,-1.04245690591075,0.889023799057782,0.308219948849407,-1.13521384820471,-0.399092463573817,-0.422784530978891,0.0565457687480145,-1.07117490816698,0.305147814712036,-0.598880491703424,0.83723404890421,-0.605076572773756,-0.34591930724799,-0.521617002294105,-0.167331243556619,3.01177247934189,2.94429689781802,-0.807214026191602,-0.719517230699628,-0.304745638440835,-0.335317255735615
"Afghanistan",2012,0,-1.01144058417749,0.865086043225685,0.292427811182975,-1.13521384820471,-0.365794633133483,-0.463548734652241,0.0361958432825813,-1.05115939106881,0.281915997567271,-0.641193311117926,1.11353869816671,-0.64743789925193,-0.34591930724799,-0.478840173083256,-0.154973320361896,2.94445021568152,2.90030813936134,-0.765479862078181,-0.633239460746217,-0.303944505931864,-0.342254803507716
"Afghanistan",2013,0,-0.970085488533139,0.833169035449557,0.268739604683327,-1.13521384820471,-0.368120270271128,-0.58584134567229,-0.176037671416649,-1.02613999469611,0.258684180422506,-0.85275740819044,0.94775590860921,-0.774521878686452,-0.34591930724799,-0.481535780104098,0.327307879045054,2.8995687065746,2.83432500167632,-0.733019956656632,-0.604480204095081,-0.303198684460375,-0.343956053042063
"Afghanistan",2014,0,-0.970085488533139,0.857106791281653,0.252947467016896,-1.13521384820471,-0.367977715206341,-0.66736975301899,-0.170454948501353,-1.0011205983234,0.241260317563933,-1.02200868584845,0.969010112398632,-0.8592445316428,-0.34591930724799,-0.482879453513195,-0.212936664347481,2.85468719746769,2.79033624321964,-0.705197180581018,-0.575720947443944,-0.302468616174481,-0.339897018870945
"Afghanistan",2015,0,-0.442808019067688,0.793272775729396,0.237155329350464,-1.13521384820471,-0.369028805039279,-0.54507714199894,-0.110845874792872,-0.976101201950694,0.223836454705359,-3.22227529540259,0.960508430882863,-0.732160552208278,-0.34591930724799,-0.484885413323033,0.361796538014064,2.78736493380732,2.74634748476296,-0.691285792543211,-0.546961690792807,-0.30171481369951,-0.345361917355154
"Albania",2000,0,0.342938798174943,-1.21749871416671,-0.244504869475707,-0.224235890277627,-0.359458314171447,0.718613171874902,-0.155147482443284,0.319903530155472,-0.252415796762319,0.628191271317156,0.152848686884791,0.623401895093288,-0.34591930724799,-0.44315906166365,-0.217902393627371,-0.601189003764787,-0.574803778716337,0.1294861016874,-0.374406150885985,-0.298455530179197,-0.357623107708319
"Albania",2001,0,0.446326537285816,-1.19356095833461,-0.244504869475707,-0.076981918996263,-0.357353270588234,0.718613171874902,-0.213135765627969,0.369942322900883,-0.252415796762319,0.628191271317156,0.0423268271797917,0.623401895093288,-0.34591930724799,-0.432494553933658,-0.217949770663753,-0.601189003764787,-0.596798157944677,0.157308877763014,-0.403165407537122,-0.298215336683499,-0.356997184099118
"Albania",2002,0,0.415310215552555,-1.18558170639058,-0.244504869475707,-0.206765080125601,-0.353460163003392,0.718613171874902,-0.213315853463946,0.414977236371754,-0.252415796762319,0.670504090731659,0.169852049916329,0.665763221571462,-0.34591930724799,-0.423559329291447,-0.218511654745927,-0.623629758318245,-0.596798157944677,0.194405912530499,-0.374406150885985,-0.297935794082705,-0.356566305064289
"Albania",2003,0,0.363616345997118,-1.16164395055848,-0.244504869475707,-0.0669985989093909,-0.395522166887522,0.759377375548252,-0.214036204807856,0.465016029117166,-0.252415796762319,0.628191271317156,0.157099527642675,0.623401895093288,-0.34591930724799,-0.512718815314245,-0.212729643557423,-0.646070512871702,-0.618792537173017,0.212954429914242,-0.374406150885985,-0.297615809346116,-0.355174913634889
"Albania",2004,0,0.384293893819293,-1.16962320250251,-0.244504869475707,-0.00460284836643998,-0.298503679490409,0.840905782894951,-0.214126248725844,0.515054821862578,-0.252415796762319,0.670504090731659,0.203858775979406,0.623401895093288,-0.34591930724799,-0.355633414520687,-0.2129477258705,-0.66851126742516,-0.640786916401357,0.245414335335792,-0.316887637583711,-0.297305388628127,-0.353204016229941
"Albania",2005,0,0.43598776337473,-1.18558170639058,-0.244504869475707,0.150138612980078,-0.389772994967813,0.800141579221602,-0.214216292643833,0.565093614607989,-0.252415796762319,0.628191271317156,0.0933369162744068,0.665763221571462,-0.34591930724799,-0.506408233946303,-0.213213546482763,-0.66851126742516,-0.662781295629697,0.263962852719534,-0.345646894234848,-0.296988409725955,-0.352470800320769
"Albania",2006,0,0.508359180752341,-0.515324543091876,-0.244504869475707,0.187576063305849,-0.400870053879835,0.800141579221602,-0.208633569728537,-1.64161714546467,-0.252415796762319,0.628191271317156,-0.0171849434305925,0.623401895093288,-0.34591930724799,-0.523620890140388,-0.167091296242365,-0.690952021978617,-0.662781295629697,0.314971275524826,-0.173091354328026,-0.296697936818189,-0.350017621662195
"Albania",2007,0,0.684118337240825,-1.23345721805477,-0.244504869475707,0.254963473892236,-0.387312241421252,0.800141579221602,-0.212775589956015,0.655163441549731,-0.252415796762319,0.712816910146161,0.0848352347586374,0.665763221571462,-0.34591930724799,-0.500483325390105,-0.218060833171699,-0.713392776532075,-0.684775674858036,0.347431180946376,-0.115572841025752,-0.296405277849029,-0.345734018045599
"Albania",2008,0,0.6220856937743,-1.29729123360703,-0.244504869475707,0.26245096395739,-0.385262710887628,0.840905782894951,-0.214756556151765,0.700198355020602,-0.252415796762319,0.712816910146161,-0.012934102672708,0.708124548049636,-0.34591930724799,-0.495234972011685,-0.167869439120601,-0.713392776532075,-0.706770054086376,0.393802474405732,-0.000535814421204051,-0.296079281443606,-0.340895144106053
"Albania",2009,0,0.704795885062998,-0.579158558644134,-0.244504869475707,0.307375904348314,-0.239384321201263,0.800141579221602,-0.214756556151765,0.745233268491472,-0.252415796762319,0.670504090731659,-0.0469408287357847,0.665763221571462,-0.34591930724799,-0.235888811265796,-0.168209972321465,-0.735833531085533,-0.706770054086376,0.430899509173217,0.0569826988810697,-0.295753011780508,-0.346696695830869
