"Country","Status","Life expectancy","Adult Mortality","infant deaths","Alcohol","percentage expenditure","Hepatitis B","Measles","BMI","under-five deaths","Polio","Total expenditure","Diphtheria","HIV/AIDS","GDP","Population","thinness  1-19 years","thinness 5-9 years","Income composition of resources","Schooling","Mean happiness"
"Afghanistan",0,-1.1466611221245,0.841646990640091,0.872370325191718,-1.13412192257021,-0.386041186916834,-0.562911481106031,-0.00205031088309452,-1.1553026284702,0.366494331859931,-1.42926957271304,0.999828707893296,-1.26961988190011,-0.34591930724799,-0.598243154520387,-0.0572785416808303,2.6485127650078,2.36831909177587,-0.986323147178366,-1.08979266008302,3.3551499875591
"Albania",0,0.607192979554076,-0.94570544482311,-0.363286920520812,0.0724559035541043,-0.311892542124376,0.800141579221602,-0.209950462029121,0.523498868138366,-0.252778793905206,0.675793193158472,0.0192128805587942,0.668410804476347,-0.34591930724799,-0.440895125973399,-0.224203388594776,-0.709185135053302,-0.684775674858036,0.379311445199683,0.0390081634741092,4.74095000323429
"Algeria",0,0.448221679254544,-0.442015165856081,-0.0506387535959653,-1.03621259067656,-0.291785553231708,-0.0151424942453936,-0.0397224350715927,0.507236260496107,-0.121736825323017,0.406048969391017,-0.551090542620897,0.406300096892646,-0.34591930724799,-0.416084023785111,-0.0149738964774404,0.295038631213928,0.255484037153488,0.309754505010649,0.204373889218147,5.55718333173962
"Angola",0,-2.09531912553797,1.31641248131,0.959991467514605,0.295063142907839,-0.35459214202013,-0.33219741170478,0.105917974530162,-1.03020564660667,0.512056186157598,-1.52447341639567,-0.842131439844062,-1.46554101686166,0.143046219735189,-0.394732775468065,-0.09740633577983,0.317479385767385,0.408070043050095,-0.786926585303133,-1.13832390568181,3.87225001907349
"Antigua and Barbuda",0,0.596853382786626,-0.28791586268696,-0.374239563311172,0.846308800371296,0.0667345801875433,0.811012033534495,-0.214756556151765,-0.009101532145611,-0.25822375104851,0.625546720103749,-0.471458125756526,0.679001136095891,-0.340531257363878,1.18304891588276,-0.244784239757274,-0.303849005931473,-0.316369822783346,-0.64665342258858,-0.908249852472715,5.39850863542298
"Argentina",0,0.607192979554076,-0.459469779483651,-0.212937005853131,0.850634905742274,-0.0403185055069936,0.118797032109898,-0.214576468315787,0.819353230245613,-0.192158271043086,0.474807300939584,0.430286893682725,0.427480760131733,-0.34591930724799,-0.15701162748841,0.0243244948658083,-0.831206737937728,-0.849733519070584,0.769989592594762,1.29542818842066,6.37861665851864
"Armenia",0,0.425603811325748,-0.368705788620286,-0.358308446525193,-0.213587015518297,-0.341051776713944,0.374665203381013,-0.19006201164338,0.305204634786507,-0.252415796762319,0.294977818427947,-0.441702240451334,0.215674127740864,-0.34591930724799,-0.39314498389401,-0.224440086562157,-0.615214475360698,-0.594048860541135,0.325984457721423,-0.0616492348048702,4.44046661692012
"Australia",1,1.29542238938742,-0.801081503337528,-0.358308446525193,1.39688890316229,2.09524530208716,0.612626242324193,-0.20539761642582,0.863449916352507,-0.250237813904998,0.194484872318503,1.24814865549972,0.194493464501777,-0.34591930724799,1.75158416484648,-0.097244540106537,-0.922372303311149,-0.921215251562689,1.34499363149078,2.31098943891393,7.26729994964856
"Austria",1,1.26117247509524,-0.780634670230945,-0.374239563311172,1.91618793634776,1.90610776107531,0.10969787950424,-0.207800663487142,0.484406061306013,-0.25822375104851,0.162750257757626,-0.503764515516449,0.189198298692005,-0.34591930724799,1.61931860317026,-0.189780092997339,-0.683939286180662,-0.632539024190729,1.08647367045487,0.973684004636061,7.16736666432694
"Azerbaijan",0,0.149665822594447,-0.386160402247856,-0.277657167796172,-0.890123340071999,-0.340985577349854,-0.780927177537607,-0.160893409959934,0.262046176043589,-0.216479079616511,-0.268311590027621,-0.0939834664563742,0.00121991244510822,-0.34591930724799,-0.310928696503713,-0.18682187041191,-0.421662967337126,-0.411220583205561,0.345982078025771,-0.187470982653594,5.21846672883227
"Bahamas",0,0.51736773263686,-0.0919254868116705,-0.374239563311172,1.42584053141422,-0.402416812158559,0.213137046325365,-0.214756556151765,0.714271765480249,-0.25822375104851,0.54356563248815,0.342436184686444,0.57045023699557,-0.341878269834906,-0.619120077742422,-0.244784239757274,-0.500205608274227,-0.504696694926005,0.509440887470003,0.121691026346128,5.39850863542298
"Bahrain",0,0.665999436168943,-0.783626889709957,-0.374239563311172,-0.654849763358046,-0.120393862483743,0.80523710468077,-0.214154387450216,0.652974244367119,-0.25822375104851,0.670504090731659,-0.88974085633237,0.668410804476347,-0.34591930724799,0.472655142965938,-0.244784239757274,0.29784372553311,0.249985442346403,0.834039941685498,0.607003482334065,6.13271667669808
"Bangladesh",0,0.00168034386032926,-0.177203741963514,2.07317825293492,-1.13521384820471,-0.387277382792498,-0.0308210341197589,0.203942034750548,-1.28759268679088,0.912442034761903,0.22621948687938,-1.29470428586684,0.443366257561049,-0.34591930724799,-0.589781924879661,0.725323464258228,2.01876909035139,2.09338935142163,-0.511017389219962,-0.95138873744942,4.62229995210596
"Barbados",0,0.524476205414482,-0.685881053395563,-0.374239563311172,0.910534826263506,-0.220169701043069,0.232160341372928,-0.214756556151765,0.368691353082248,-0.25822375104851,-0.0779039026623586,0.0941870844259836,0.324225026841184,-0.312243995472289,0.159146511899617,-0.244784239757274,-0.184632497366229,-0.196775385729248,0.660147591212911,0.831685174921072,5.39850863542298
"Belarus",0,0.0643641492629905,0.440190877205973,-0.365278310119059,2.23099529642046,-0.248288537691164,0.430715983431869,-0.212522341436672,0.807469016968578,-0.253141791048093,0.326712432988824,0.123942969731176,0.419538011417076,-0.34591930724799,-0.373176268761938,-0.181486677703378,-0.575943154892147,-0.54456150727737,0.534075637120286,0.790343743485063,5.58831659888391
"Belgium",1,1.17845570095565,-0.745226739729303,-0.370256784114677,1.61835222042274,0.718219837131503,-0.157817207102118,-0.207412349090816,0.614819664898743,-0.252415796762319,0.659925885878033,0.0261736322998302,0.636639809617717,-0.34591930724799,1.49842308361961,-0.152604702310891,-0.878893341363825,-0.870353249597153,1.15776953414863,1.37631359775198,6.91174998533439
"Belize",0,-0.00155078012949846,-0.0644968082540599,-0.374239563311172,0.422849640019802,-0.231052480791249,0.667657917283215,-0.214756556151765,-0.0466306267046699,-0.25822375104851,0.564722042195402,-0.366037274960988,0.546621990851597,-0.274527646283504,-0.39510750079048,-0.242768771633443,-0.27439551558006,-0.291626146151463,0.305407196248834,0.130678294049608,5.95599995040894
"Benin",0,-1.21128360192106,0.844140506872601,0.0240383563383132,-0.888126676054625,-0.381810590078216,-0.644075922348504,-0.1141887552482,-0.950456320668671,-0.0302615453155059,-0.612103247770456,-0.537487852195666,-0.607724155678642,0.000262897806216734,-0.582439777836114,-0.182786674189691,0.778917401272858,0.731112487966335,-0.881118275142451,-0.906452398932019,4.12016669080831
"Bhutan",0,-0.322724504718391,0.531952274562343,-0.363286920520812,-1.06815921495455,-0.339292128012831,0.642180289987371,-0.207530531733176,-1.05209761843279,-0.252778793905206,0.305556023281572,-0.235678158385861,0.491022749848994,-0.290691795935841,-0.419348372094503,-0.240196145322113,2.79157257528609,2.88381235494009,-2.05981859076247,-0.511012619978885,5.12480003128052
"Bosnia and Herzegovina",0,0.691202203289601,-0.787117812435471,-0.374239563311172,-0.0382133593255762,-0.301494629731999,-0.273315784176609,-0.186015663078765,0.518182246409166,-0.25822375104851,-0.162529541491364,1.20790736299175,-0.16028264475293,-0.34591930724799,-0.416244145246445,-0.220338185642925,-0.448311363369357,-0.452460044258698,-0.824023620070619,0.0641725130438542,5.24718334703621
"Botswana",0,-1.3683162278267,2.27043179186835,-0.342377329739214,0.0278429419158944,-0.24584320196782,0.364474152462676,-0.193337359160216,-0.318403819803188,-0.240073893904163,0.593812105542872,-0.165680980572694,0.573097819900456,3.19402946661371,-0.31993419311739,-0.231372342663982,0.596586270526015,0.659630755474231,0.010659662197799,0.0390081634741093,3.77148333140415
"Brazil",0,0.423665136931852,-0.102896958234715,0.713059157331923,0.662615710772848,-0.219411534484653,0.726256460063655,-0.206168617473598,0.423108540192884,0.19044071755976,0.683726846798691,0.90071327088862,0.663115638666576,-0.34591930724799,-0.210475401146755,1.08406272014718,-0.388001835506939,-0.396099447486077,0.380760548120288,0.621383110659633,6.61076668164697
"Bulgaria",1,0.368736029104777,-0.303874366575024,-0.359304141324317,1.57409283470427,-0.238124651589467,0.657466866364877,-0.0769612229047706,0.795272061236884,-0.252415796762319,0.511831017927273,0.567730744854327,0.496317915658766,-0.34591930724799,-0.332791651671943,-0.194711415972381,-0.594176267966831,-0.584426319628736,0.586822983430304,0.495561362810909,4.69908337651119
"Burkina Faso",0,-1.41032083969446,0.709490630317059,0.338677912861407,-0.079144971681752,-0.378038200830393,0.111226537141991,0.243724563266905,-1.15624085583418,0.206049594703899,-0.556567672288921,0.0584800220597531,-0.210586719945761,0.0285501596978056,-0.592667693597105,-0.147981761415268,0.592378629047241,0.476802478138657,-1.84738010260179,-1.89684929985555,4.18961669797497
"Burundi",0,-1.42130666125987,1.02118015938081,-0.00384109803715075,-0.113587425981461,-0.3952335291545,0.609908628745969,-0.093242288826092,-1.16562312947394,-0.0516783767458359,0.18919576989169,0.505385080405353,0.146836972213831,0.297952653903414,-0.608174720307418,-0.190302940608972,0.727023156367987,0.70361951393091,-1.39207196494774,-1.30009472434446,3.19504999956496
"Cambodia",0,-0.510775920926374,0.261655114958254,-0.107393357146017,-0.766829336999128,-0.386586203617003,0.0500802316319659,-0.0454008296497515,-1.16312118983667,-0.139160688181591,-0.337069921576188,-0.0679116431413487,-0.432983683956174,-0.14656146153584,-0.578760445570184,-0.153351036794724,1.20388919062896,1.33458326804391,-0.631292931630168,-0.611670018257865,4.31256672287541
"Cameroon",0,-1.57833928716551,1.04761143144542,0.500976165118572,-0.104103271898932,-0.381590277007272,-0.0633183713138979,0.0535067865158978,-0.749988407232365,0.242349308992594,-0.408472804338161,-0.502064179213295,-0.544182165961381,0.971458889417436,-0.420009570824698,-0.118645731210208,0.397424573864078,0.394323556032383,-0.733019956656631,-0.890275317065754,4.7606500122769
"Canada",0,1.2824978934281,-0.789611328667981,-0.342377329739214,0.872265432597163,1.79633135957591,-2.01885989018928,-0.203095868772236,0.863449916352507,-0.246607842476128,0.133660194410155,0.489515274909251,0.37188151912913,-0.34591930724799,1.56905984880736,-0.0232963497356141,-0.958838529460518,-0.962454712615825,1.22471808908058,1.11388538081035,7.33084999912353
"Central African Republic",0,-2.14766333417318,1.35231911505815,-0.111376136342512,-0.830389808218881,-0.383256293411622,-1.4593599958155,-0.151776463263584,-1.07680427235084,-0.115928871036826,-1.72810385982797,-0.791121350749447,-1.68793798087208,1.56818541408286,-0.599684643457832,-0.216660539835714,0.522251271067686,0.500171506068767,-1.35671385368498,-1.65778797894297,3.20258000264026
"Chad",0,-1.95379589478351,0.512004144702263,0.340669302459654,-1.03504786999976,-0.387297829315827,-1.97691979602535,0.207346820399493,-1.11527159427387,0.195522677560177,-2.08511827363783,-0.646592764981371,-2.34983370709354,0.567355148109023,-0.581687919702823,-0.164611334651308,0.530666554025233,0.490548965156369,-1.44423967008951,-1.70092686391968,4.07328333945314
"Chile",0,1.05114941575643,-0.797590580612014,-0.342377329739214,0.603880510928417,-0.0391466254842009,-0.0477538571840734,-0.214660884488902,0.849689248347519,-0.245518851047467,0.0622573116481817,0.429720114915007,0.276568534553239,-0.34591930724799,-0.0327432633052968,-0.135989888281087,-0.873283152725461,-0.857981411281212,0.803318959768675,0.833482628461768,6.52924997323482
"China",0,0.514782833444998,-0.716800654678688,4.32344849895451,-0.0939535631439457,-0.367949525791811,0.0842202522083964,5.71535016699936,-0.840683719083424,1.77456024911841,0.488030057006616,-0.417614142823321,0.467194503705021,-0.34591930724799,-0.411827054986317,8.44334024090633,-0.0317548569707992,-0.173406357799137,0.149193901407627,-0.16230663308385,5.20314995008146
